"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI","0","Авторизация","14","0","Ошибки входа","0"
"0","API","0","Пользователи","4","0","Задачи пользователя","0"
"0","UI","0","Оформление заказа","8","0","Валидация данных покупателя","0"
"0","UI","0","Каталог","8","0","Сортировка","0"
"0","UI","0","Авторизация","4","0","Успешный вход","0"
"0","UI","0","Корзина","12","0","Добавление и удаление товаров","0"
"0","API","0","Посты","9","0","Получение постов","0"
"0","UI","0","Оформление заказа","4","0","Покупка","0"
"0","API","0","Посты","5","0","Изменение постов","0"
"0","API","0","Комментарии","5","0","Комментарии к посту","0"
"0","UI","0","Каталог","4","0","Отображение каталога","0"
"0","API","0","Пользователи","4","0","Профили пользователей","0"
