"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","Ошибка входа: несуществующий пользователь","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","502","Ошибка входа: заблокированный пользователь","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","401","Ошибка входа: пустой логин","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","11","Несуществующий пост (id=99999) возвращает 404","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","41","Пост по id соответствует контракту","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","293","Сортировка: по цене по возрастанию","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","11","Список постов соответствует контракту","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","212","Фильтр задач по статусу completed=False","tests.api","2026-09-26","passed","2026-09-26","TestTodos","test_users","",""
"","358","Карточка товара показывает те же данные, что и каталог","tests.ui","2026-09-26","passed","2026-09-26","TestCatalog","test_inventory","",""
"","423","Не заполнено поле: индекс","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","399","Не заполнено поле: имя","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","197","PUT /posts/1 полностью заменяет пост","tests.api","2026-09-26","passed","2026-09-26","TestModifyPosts","test_posts","",""
"","30","Комментарии поста 1 соответствуют контракту","tests.api","2026-09-26","passed","2026-09-26","TestComments","test_comments","",""
"","202","Фильтрация постов по userId=5","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","312","Сортировка: по названию A→Z","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","462","Вход стандартного пользователя","tests.ui","2026-09-26","passed","2026-09-26","TestSuccessfulLogin","test_login","",""
"","79","PATCH /posts/1 меняет только переданное поле","tests.api","2026-09-26","passed","2026-09-26","TestModifyPosts","test_posts","",""
"","667","Ошибка входа: несуществующий пользователь","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","203","Фильтр по несуществующему пользователю возвращает пустой список","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","327","Удаление последнего товара на странице корзины очищает её","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","534","Итоговая сумма = товары + налог 8%","tests.ui","2026-09-26","passed","2026-09-26","TestPurchase","test_checkout","",""
"","67","Всего 500 комментариев с уникальными id","tests.api","2026-09-26","passed","2026-09-26","TestComments","test_comments","",""
"","774","Страница каталога без входа недоступна","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","815","Ошибка входа: неверный пароль","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","111","«Cancel» на шаге данных покупателя возвращает в корзину","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","451","Ошибка входа: пустой пароль","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","1133","Выход из аккаунта возвращает на страницу входа","tests.ui","2026-09-26","passed","2026-09-26","TestSuccessfulLogin","test_login","",""
"","393","Добавленный товар появляется в корзине","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","463","Ошибка входа: логин в другом регистре","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","391","Не заполнено поле: имя","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","393","Счётчик корзины считает несколько товаров","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","925","Вход стандартного пользователя","tests.ui","2026-09-26","passed","2026-09-26","TestSuccessfulLogin","test_login","",""
"","1144","Корзина сохраняется после перезагрузки страницы","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","258","Сортировка: по цене по возрастанию","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","287","Выход из аккаунта возвращает на страницу входа","tests.ui","2026-09-26","passed","2026-09-26","TestSuccessfulLogin","test_login","",""
"","424","Удаление товара из каталога обновляет счётчик","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","198","Удаление последнего товара на странице корзины очищает её","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","332","Ошибка входа: логин в другом регистре","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","196","DELETE /posts/1 удаляет пост","tests.api","2026-09-26","passed","2026-09-26","TestModifyPosts","test_posts","",""
"","168","«Cancel» на шаге данных покупателя возвращает в корзину","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","257","Сортировка: по названию Z→A","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","200","Сортировка: по названию A→Z","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","206","Добавленный товар появляется в корзине","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","201","Фильтрация постов по userId=10","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","242","Сортировка: по названию Z→A","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","576","Ошибка входа: заблокированный пользователь","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","564","Ошибка входа: пустой логин","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","344","Не заполнено поле: фамилия","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","537","Сквозной сценарий: от каталога до оформленного заказа","tests.ui","2026-09-26","passed","2026-09-26","TestPurchase","test_checkout","",""
"","223","Комментарии поста 100 соответствуют контракту","tests.api","2026-09-26","passed","2026-09-26","TestComments","test_comments","",""
"","24","Фильтрация постов по userId=1","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","204","Несуществующий пост (id=0) возвращает 404","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","351","Сортировка: по цене по убыванию","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","405","Не заполнено поле: фамилия","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","13","Задачи пользователя 1 соответствуют контракту","tests.api","2026-09-26","passed","2026-09-26","TestTodos","test_users","",""
"","249","Задачи пользователя 7 соответствуют контракту","tests.api","2026-09-26","passed","2026-09-26","TestTodos","test_users","",""
"","517","Корзина сохраняется после перезагрузки страницы","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","20","Вложенный маршрут и фильтр по postId возвращают одинаковые данные","tests.api","2026-09-26","passed","2026-09-26","TestComments","test_comments","",""
"","299","«Continue Shopping» возвращает в каталог с сохранением корзины","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","9","Список пользователей соответствует контракту","tests.api","2026-09-26","passed","2026-09-26","TestUsers","test_users","",""
"","193","POST /posts создаёт пост","tests.api","2026-09-26","passed","2026-09-26","TestModifyPosts","test_posts","",""
"","262","Карточка товара показывает те же данные, что и каталог","tests.ui","2026-09-26","passed","2026-09-26","TestCatalog","test_inventory","",""
"JSONPlaceholder не валидирует тело запроса. Тест фиксирует это поведение: если API начнёт валидацию, тест упадёт и сообщит об изменении контракта.","192","POST /posts с пустым телом создаёт пост только с id","tests.api","2026-09-26","passed","2026-09-26","TestModifyPosts","test_posts","",""
"","123","В каталоге отображаются все товары с ценами","tests.ui","2026-09-26","passed","2026-09-26","TestCatalog","test_inventory","",""
"","11","Несуществующий пост (id=101) возвращает 404","tests.api","2026-09-26","passed","2026-09-26","TestGetPosts","test_posts","",""
"","559","«Continue Shopping» возвращает в каталог с сохранением корзины","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","686","Сквозной сценарий: от каталога до оформленного заказа","tests.ui","2026-09-26","passed","2026-09-26","TestPurchase","test_checkout","",""
"","256","Сортировка: по цене по убыванию","tests.ui","2026-09-26","passed","2026-09-26","TestSorting","test_inventory","",""
"","135","В каталоге отображаются все товары с ценами","tests.ui","2026-09-26","passed","2026-09-26","TestCatalog","test_inventory","",""
"","9","Профиль пользователя 1 соответствует контракту","tests.api","2026-09-26","passed","2026-09-26","TestUsers","test_users","",""
"","395","Не заполнено поле: индекс","tests.ui","2026-09-26","passed","2026-09-26","TestCheckoutValidation","test_checkout","",""
"","635","Счётчик корзины считает несколько товаров","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","304","Удаление товара из каталога обновляет счётчик","tests.ui","2026-09-26","passed","2026-09-26","TestCart","test_cart","",""
"","451","Итоговая сумма = товары + налог 8%","tests.ui","2026-09-26","passed","2026-09-26","TestPurchase","test_checkout","",""
"","487","Ошибка входа: пустой пароль","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","13","Несуществующий пользователь возвращает 404","tests.api","2026-09-26","passed","2026-09-26","TestUsers","test_users","",""
"","201","Профиль пользователя 10 соответствует контракту","tests.api","2026-09-26","passed","2026-09-26","TestUsers","test_users","",""
"","562","Ошибка входа: неверный пароль","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
"","214","Фильтр задач по статусу completed=True","tests.api","2026-09-26","passed","2026-09-26","TestTodos","test_users","",""
"","204","Комментарии поста 50 соответствуют контракту","tests.api","2026-09-26","passed","2026-09-26","TestComments","test_comments","",""
"","652","Страница каталога без входа недоступна","tests.ui","2026-09-26","passed","2026-09-26","TestLoginErrors","test_login","",""
